,key,name,description,id
18,spsh,龙虾鳞甲,"[魔力]
- 铠甲 -
∴护甲 +40
∴力量 +25
∴敏捷 +20
∴受到攻击时反射300的额外伤害
▣ 等级.30",30
19,sres,葡萄味糖果,"[糖果]
紫罗兰色的智力糖果
∴15分钟持续时间 智力 20提升
∴生命值40% 恢复",-1
20,pdiv,灵魂糖果,"[糖果]
灵魂糖果
∴30分钟持续时间 经验值获得量 +10%",-1
21,pres,法爷力量结晶,"[收藏品]
改变背包的外观.",279
22,totw,蓝莓味糖果,"[糖果]
蓝色的敏捷糖果
∴15分钟持续时间敏捷属性20提升
∴生命值40% 恢复",-1
23,fgfh,糖果,"[糖果]
糖果
∴天堂的味道",-1
24,fgrd,天仪·诸神之怒,"[史诗]
- 鸿蒙起源 武器 (弓箭) -
在天威面前颤抖.
∴攻击力+10200
∴敏捷 +760
∴攻击速度 +40%
∴攻击时触发苍穹之韵
▣ 等级.100",875
25,fgrg,亡灵战神力量结晶,"[收藏品]
改变背包的外观.",266
26,hcun,荣耀·鲜血残戟,"[史诗]
- 神话传说 武器 (剑) -
流淌不止的鲜血给予你力量！.
∴攻击力+6600
∴力量 +565
∴技能伤害 +8%
∴每当释放技能 触发荣耀战歌
▣ 等级.100",667
27,hval,风之守护,"[魔力]
- 铠甲 -
∴护甲 +40
∴智力 +45
∴技能伤害 +3%
∴90秒触发一次 闪避致命的打击
▣ 等级.40",48
28,mcou,骷髅印章,"[史诗]
- 神话传说 首饰 -
充满邪恶的黑暗配件
∴力量 +285
∴智力 +255
∴技能伤害 +7.5%
∴当被治疗时，溢出的治疗量会暂时提高最大生命值
▣ 等级.100",230
29,ajen,灵魂血矛,"[史诗]
- 传奇至宝 武器 (近战) -
放弃吧，愚蠢的人类！.
∴攻击力+2500
∴力量 +190
∴攻击时附带10%吸血 (最高250)
▣ 等级.60",142
30,clfm,浴血之戒,"[史诗]
- 神话传说 首饰 -
浴血的戒指
∴全属性 +275
∴生命值 +2250
∴所受治疗量+15%
∴点击使用 触发自身生命值30% 恢复 (CD: 30秒)
▣ 等级.100",677
31,ratc,亡灵挽歌·王者之剑,"[史诗]
- 禁断圣物 武器 (近战) -
绝望的使者所使用的远古利器！
∴攻击力+7050
∴力量 +520
∴敏捷 +505
∴致命一击倍率 +0.20x
∴攻击时几率 触发仇恨打击
∴点击使用 灵魂切割
▣ 等级.100",259
32,ward,亡灵挽歌·灾祸法袍,"[史诗]
- 禁断圣物 铠甲 -
奇特的法袍
∴护甲 +175
∴智力 +275
∴技能伤害 +5%
∴点击使用 触发死亡契约
▣ 等级.100",261
33,kpin,复仇者,"[史诗]
- 神话传说 武器 (剑) -
我将我的灵魂赐赋于你'你能获得我全部的能力
∴攻击力+6300
∴敏捷 +535
∴技能伤害 +5%
∴致命一击概率 +5%
∴点击使用 下一次攻击触发复仇效果
▣ 等级.100",226
34,crys,灾难头巾,"[史诗]
- 禁断圣物 头盔 -
不怕死者才能拥有
∴护甲 +95
∴敏捷, 智力 +210
∴生命值 +1500
∴复活等待时间 -40%
∴死亡时触发亡者之手
▣ 等级.100",268
35,lgdh,冰川守护,"[魔力]
- 头盔 -
∴护甲 +30
∴力量 +30
∴敏捷 +25
∴受到攻击时几率冰冻敌人
▣ 等级.40",45
36,ankh,冰冻结晶,"[召唤类物品]
封印强大力量的结晶，要不要打破它？?
◎点击使用 召唤BOSS
◎只能在冰山雪地上使用",392
37,whwd,远古遗迹残骸,"[史诗]
- 神话传说 材料 -
∴点击查看相关合成组合",233
38,fgsk,红色水晶魔像力量结晶,"[收藏品]
改变背包的外观.",217
39,wcyc,黑瓜力量结晶,"[收藏品]
改变背包的外观.",129
40,hlst,坐忘无我·天国背包,"[史诗]
- 神话传说 武器 (背包) -
一个有生命力的背包
∴攻击力+3600
∴全属性 +360
∴恢复量 +12%
∴魔法抗性 +12%
▣ 等级.100",733
41,mnst,诅咒面罩,"[召唤类物品]
瓦拉的诅咒水晶
◎点击使用 召唤BOSS
◎只能在瓦几内拉帝国",67
42,belv,宿主权杖,"[史诗]
- 禁断圣物 武器 (法杖) -
你要下地狱了 !
∴攻击力+5850
∴智力 +660
∴持续伤害+20%
∴魔法抗性 +12%
∴点击使用 激活寄生
▣ 等级.100",267
43,bgst,葬礼·血祭之矛,"[史诗]
- 传奇至宝 武器 (近战) -
放弃吧，愚蠢的人类！.
∴攻击力+3200
∴力量 +235
∴攻击时附带10%吸血 (最高400)
▣ 等级.60",615
44,ciri,深海宝石,"[魔力]
- 首饰 -
∴全属性 +15
∴魔法值恢复 +5
∴点击使用 发动潮汐打击
▣ 等级.30",31
45,lhst,生命咏叹·梦境童话,"[史诗]
- 神话传说 铠甲 -
生命的能量不断涌出..
∴护甲 +175
∴智力 +285
∴生命值 +1500
∴点击使用 召唤一只强大的精灵龙
▣ 等级.100",671
46,afac,生命咏叹·守望之锤,"[史诗]
- 神话传说 武器 (剑) -
在生命源泉的守护下勇往直前 !!
∴攻击力+5700
∴力量 +555
∴技能伤害 +4.5%
∴每当释放技能 力量得到提升
▣ 等级.100",221
47,sbch,生命咏叹·守护圣甲,"[史诗]
- 神话传说 铠甲 -
生命的能量不断涌出..
∴护甲 +200
∴力量 +240
∴敏捷 +100
∴魔法抗性 +8%
∴生命值很低时生命恢复速度得到暂时性大幅提高
▣ 等级.100",669
48,brac,空白,,-1
49,rwiz,绝望的深渊,"[史诗]
- 神话传说 武器 (法杖) -
堕入无尽的黑暗吧; 绝望的惨叫吧 !
∴攻击力+5550
∴智力 +585
∴攻击速度 +25%
∴技能伤害 +5%
∴施法后对目标区域制造瘟疫
▣ 等级.100",227
50,pghe,冰柱糖果,"[糖果]
冰柱糖果
∴30分钟持续时间 敏捷 +15",-1
51,pgma,肉桂糖果,"[糖果]
肉桂糖果
∴30分钟持续时间 力量 +15",-1
52,pnvu,沧海印记,"[召唤类物品]
深蓝的印记折射出无尽的恐惧
◎点击使用 召唤BOSS
◎只能在深海使用",394
53,sror,风暴徽记,"[史诗]
- 神话传说 材料 -
∴点击查看相关合成组合",249
54,woms,解印宝石,"[召唤类物品]
这个石头可以用来打破封印
◎可以解除远古秘境某处的BOSS封印",395
55,evtl,未完成的狂暴药剂,"[史诗]
- 神话传说 首饰 -
危险的药水,能玩坏你的药...
∴全属性 +260
∴生命值恢复 +50
∴技能伤害 +6%
∴点击使用改变角色外形持续12秒
▣ 等级.100",231
56,penr,亡灵挽歌·咒印心石,"[史诗]
- 禁断圣物 首饰 -
黑暗骷髅的邪恶物品
∴主属性 +390
∴技能伤害 +12%
▣ 等级.100",672
57,prvt,冰柱之弓,"[魔力]
- 武器 (弓箭) -
∴攻击力+500
∴敏捷 +75
∴攻击速度 +20%
∴每攻击时200~400魔法值恢复并拥有减速效果
▣ 等级.40",44
58,rat9,亡灵挽歌·月穷天坠,"[史诗]
- 禁断圣物 首饰 -
充满魔力的邪恶饰品！
∴全属性 +340
∴攻击速度 +15%
∴8秒触发一次 三种强力BUFF之一
∴点击使用 激活三种BUFF
▣ 等级.100",262
59,rde2,不朽·潜行者,"[史诗]
- 禁断圣物 武器 (弓箭) -
每次打击都指向敌人的心脏
∴攻击力+8700
∴敏捷 +540
∴生命值 +1200
∴技能伤害 +5%
∴6秒触发一次 下次深渊之力攻击 强化
▣ 等级.100",696
60,rlif,格林之镰,"[史诗]
- 鸿蒙起源 武器 (通用) -
一种将灵魂与凡人分离的奇特武器
∴攻击力+9400
∴主属性 +960
∴技能伤害 +15%
∴暗属性 +5%
∴每当释放技能就出发死亡之镰
∴点击使用 激活分离
▣ 等级.100",340
61,bspd,冬之泪·冰霜怨弓,"[史诗]
- 神话传说 武器 (弓箭) -
你是否能感受到这冰灵般的弓,内在附属的死亡灵魂?
∴攻击力+4950
∴力量 +285
∴敏捷 +475
∴技能伤害 +2.5%
∴攻击时几率触发减速效果
▣ 等级.90",206
62,rej3,圣泉喝彩·生命背包,"[史诗]
- 神话传说 武器 (背包) -
一个有生命力的背包
∴攻击力+4800
∴全属性 +465
∴恢复量 +12%
∴魔法抗性 +12%
▣ 等级.100",735
63,will,漩涡·风之守护,"[罕见]
- 铠甲 -
∴护甲 +55
∴智力 +75
∴生命值 +500
∴技能伤害 +5%
∴45秒触发一次 闪避致命的打击
▣ 等级.40",577
64,wlsd,初级猎枪,"[罕见]
- 武器 (枪支) -
∴攻击力+720
∴敏捷 +100
∴智力 +35
∴攻击速度 +18%
▣ 等级.40",569
65,wswd,恶魔领主力量结晶,"[收藏品]
改变背包的外观.",218
66,cnob,糖果袋,"[史诗]
- 传奇至宝 首饰 -
饱含了得天独厚的万圣节喜气的糖果袋
∴全属性 +80
∴生命值 +750
∴点击使用 向附近扔多个糖果
▣ 等级.60",155
67,gcel,亡者灵魂,"[史诗]
- 禁断圣物 翅膀 -
包含王者灵魂.
∴全属性 +275
∴生命值 +1200
∴复活等待时间 -40%
∴死亡时触发复活死者
▣ 等级.100",704
68,rat6,亡灵挽歌·虚灵权杖,"[史诗]
- 禁断圣物 武器 (法杖) -
饱含众多灵魂的骷髅拐杖
∴攻击力+5700
∴智力 +690
∴魔法值 +2250
∴技能伤害 +5%
∴点击使用 触发暗黑领域
▣ 等级.100",260
69,rde1,不朽之心,"[史诗]
- 禁断圣物 材料 -
∴点击查看相关合成组合",271
70,tdx2,幻想力量结晶,"[收藏品]
改变背包的外观.",428
71,texp,万圣节特别力量结晶,"[收藏品]
改变背包的外观.",423
72,tin2,药草,10秒内恢复500生命值.,-1
73,tpow,元素·空灵匕首,"[史诗]
- 冥灵传世 武器 (通用) -
注入了天堂第五元素的匕首
∴攻击力+5950
∴全属性 +525
∴攻击速度 +25%
∴技能伤害 +10.5%
∴攻击时激活元素气息
▣ 等级.100",869
74,tst2,冰霜巨蛛力量结晶,"[收藏品]
改变背包的外观.",209
75,pnvl,血之挽歌·逆天禁咒炮,"[史诗]
- 禁断圣物 武器 (枪支) -
休息一下，感受我的力量
∴攻击力+9000
∴敏捷 +585
∴生命值 +1800
∴点击使用 触发血之挽歌
▣ 等级.100",758
76,clsd,生命咏叹·破界守望,"[史诗]
- 神话传说 铠甲 -
生命的能量不断涌出..
∴护甲 +170
∴力量 +90
∴敏捷 +255
∴魔法抗性 +5%
∴8秒触发一次 1500点伤害吸收量的护盾
▣ 等级.100",670
77,rag1,生命咏叹·守护头盔,"[史诗]
- 神话传说 头盔 -
雷之神赋予的神圣王冠！！
∴护甲 +90
∴全属性 +125
∴致命一击概率 +7.5%
∴攻击时有几率召唤闪电攻击
▣ 等级.100",220
78,rin1,潜行者,"[史诗]
- 神话传说 武器 (弓箭) -
不要错过了这些 !! 它们一直渐弱自己的气息 !!
∴攻击力+6750
∴敏捷 +495
∴攻击速度 -25%
∴致命一击概率 +7.5%
∴攻击时几率触发深渊爆破
▣ 等级.100",228
79,rst1,灵魂酒箱,"[史诗]
- 神话传说 首饰 -
包含灵魂的箱子
∴力量 +185
∴智力 +280
∴生命值恢复 +60
∴技能伤害 +8%
∴魔法抗性 +8%
∴点击使用 生命值恢复
▣ 等级.100",637
80,manh,格林之镰,"[史诗]
- 鸿蒙起源 武器 (通用) -
一种将灵魂与凡人分离的奇特武器
∴攻击力+9400
∴主属性 +960
∴技能伤害 +15%
∴暗属性 +5%
∴每当释放技能就出发死亡之镰
∴点击使用 激活分离
▣ 等级.100",340
81,tdex,迷你雪人力量结晶,"[收藏品]
改变背包的外观.",425
82,tint,魔海诱惑·恶魔之角,"[史诗]
- 神话传说 头盔 -
恶魔的精魄凝聚而成
∴护甲 +95
∴全属性 +144
∴技能伤害 & 致命一击概率 +6%
∴所受伤害+6%
∴3000码移动距离触发恶魔火焰
▣ 等级.100",755
83,tstr,觉醒·真神之钟,"[史诗]
- 鸿蒙起源 首饰 -
主拯救了我们所有人
∴全属性 +450
∴生命值恢复 +200
∴光属性 +7.5%
∴技能命中友军时触发[希望]效果
∴点击使用 救济
▣ 等级.100",877
84,pomn,僵尸领主力量结晶,"[收藏品]
改变背包的外观.",273
85,wshs,沧海巨兽力量结晶,"[收藏品]
改变背包的外观.",251
86,rej6,精灵大地之刃,"[史诗]
- 禁断圣物 武器 (通用) -
古代精灵的圣器
∴攻击力+5400
∴全属性 +435
∴攻击速度 +20%
∴技能伤害 +9%
∴攻击时激活元素气息
▣ 等级.100",676
87,rej5,噩耗·魑魅神杖,"[史诗]
- 禁断圣物 武器 (法杖) -
来自深渊的神器！！
∴攻击力+5500
∴智力 +665
∴生命值 +1800
∴施放技能和治疗时，触发疯狂强化
▣ 等级.100",691
88,rej4,统治权杖,"[史诗]
- 禁断圣物 武器 (法杖) -
拥有控制一切的欲望!
∴攻击力+6000
∴智力 +735
∴生命值 +900
∴攻击速度 +30%
∴每个自己的召唤物在附近会造成智力 30 提高
∴点击使用 统治释放
▣ 等级.100",697
89,ram4,魑魅神杖,"[史诗]
- 神话传说 武器 (法杖) -
疯狂的拐杖
∴攻击力+4600
∴智力 +570
∴生命值 +1350
∴每当释放技能周围的友军6秒 强化
▣ 等级.100",690
90,dsum,火焰披风,"[罕见]
- 翅膀 -
∴力量 +70
∴敏捷 +50
∴智力 +50
∴每0.5秒对周围敌军造成750的魔法伤害
▣ 等级.60",83
91,ofir,自然精华,"[史诗]
- 禁断圣物 材料 -
∴点击查看相关合成组合",277
92,ocor,苍穹俱宁·卸尘枷锁,"[史诗]
- 冥灵传世 首饰 -
天空不是你的极限
∴主属性 +360
∴所受伤害-15%
∴点击使用 释放苍穹俱宁
▣ 等级.100",301
93,oli2,死亡之翼力量结晶,"[收藏品]
改变背包的外观.",176
94,oven,九头蛇力量结晶,"[收藏品]
改变背包的外观.",141
95,ram3,无坚不摧战翅,"[史诗]
- 冥灵传世 翅膀 -
强者的象征 ! 差距就是死亡的开始.
∴攻击力+1200
∴全属性 +135, 主属性 +150
∴致命一击倍率 +0.2x
∴每当释放技能 6秒 技能伤害和致命一击概率 4%提升 (3次叠加)
▣ 等级.100",724
96,tret,熔岩骨片,"[史诗]
- 禁断圣物 材料 -
∴点击查看相关合成组合",254
97,tgrh,@Unused,,-1
98,rej2,圣诞力量结晶,"[收藏品]
改变背包的外观.",426
99,gemt,浩瀚背包 +1,"[史诗]
- 传奇至宝 武器 (背包) -
相当重的背包
∴攻击力+3800
∴力量 +310
∴技能伤害 +5%
∴所受伤害-15%
▣ 等级.70",653
100,ram2,鸣夜动天破灭盔,"[史诗]
- 冥灵传世 头盔 -
封杀所有残渣！!
∴护甲 +100
∴力量 +210, 敏捷 +240
∴技能伤害 +15%
∴所受伤害+8%
∴点击使用 释放禁锢死光
▣ 等级.100",720
101,stel,信仰斗篷,"[史诗]
- 禁断圣物 翅膀 -
感受到永恒的力量 ..
∴主属性 +295
∴生命值 +1500
∴所受伤害-12%
∴攻击时几率触发永恒信仰
▣ 等级.100",269
102,stwp,令牌力量结晶,"[收藏品]
改变背包的外观.",412
103,wneg,獠牙手,"[魔力]
- 武器 (枪支) -
∴攻击力+340
∴敏捷 +50
∴智力 +25
∴攻击速度 +15%
▣ 等级.30",33
104,sneg,主天使力量结晶,"[收藏品]
改变背包的外观.",284
105,wneu,驭龙枪,"[史诗]
- 传奇至宝 武器 (枪支) -
如果你拥有这把枪，你将可以根除一切
∴攻击力+3600
∴敏捷 +360
∴智力 +160
∴攻击速度 +20%
∴技能伤害 +4%
∴点击使用 触发龙之舞
▣ 等级.70",648
106,shea,阿赫利乌斯·双元法杖,"[史诗]
- 鸿蒙起源 武器 (法杖) -
这根法杖内的火与水之力不断轮转，相互排斥.
∴攻击力+8400
∴智力 +790
∴火焰伤害 +5%
∴冰属性/水属性+5%
∴装备时，激活元素增幅
∴点击使用 释放元素
▣ 等级.100",874
107,sman,高级猎枪,"[罕见]
- 武器 (枪支) -
∴攻击力+1150
∴敏捷 +130
∴智力 +50
∴攻击速度 +20%
∴获得经验值+8%
▣ 等级.50",571
108,rej1,虚无界石,"[史诗]
- 神话传说 材料 -
∴点击查看相关合成组合",240
109,pspd,混沌诛天权杖,"[史诗]
- 冥灵传世 武器 (法杖) -
拥有无限智慧与霸气..
∴攻击力+8700
∴力量 +470
∴智力 +870
∴技能伤害 +15%
∴点击使用 激活混沌崩击
▣ 等级.100",717
110,dust,浮生·弑光之钟,"[史诗]
- 禁断圣物 首饰 -
你的灵魂将受到护佑！
∴全属性 +285
∴光属性 +7.5%
∴周围的友军护甲和生命值提高
∴每当释放技能 充能神圣之光
∴点击使用 释放神圣之光
▣ 等级.100",775
111,ram1,灵魂之石,"[史诗]
- 神话传说 材料 -
∴点击查看相关合成组合",126
112,pinv,巨龙之怒·流年沙漏,"[史诗]
- 禁断圣物 首饰 -
一个可以颠倒沙子的神秘圣器
∴主属性 +335
∴攻击速度 +10%
∴3秒触发一次 你的下次攻击产生连击
∴30秒触发一次随机刷新一个技能
▣ 等级.100",253
113,phea,幽光残骸,"[史诗]
- 冥灵传世 材料 -
∴点击查看相关合成组合",304
114,pman,狩猎者,"[史诗]
- 传奇至宝 武器 (枪支) -
∴攻击力+2400
∴敏捷 +250
∴智力 +130
∴攻击速度 +20%
∴获得经验值+10%
▣ 等级.60",645
115,spro,水果背包,"[罕见]
- 武器 (背包) -
∴攻击力+1200
∴全属性 +130
∴恢复量 +10%
∴魔法抗性 +10%
▣ 等级.50",606
116,hslv,百骸飒沓背包,"[史诗]
- 禁断圣物 武器 (背包) -
偶卖糕德.. 太热了...  喂我肉吧...
∴攻击力+7200
∴力量 +630
∴技能伤害 +11%
∴所受伤害-22%
▣ 等级.100",793
117,moon,采佩什血炮,"[史诗]
- 传奇至宝 武器 (枪支) -
放弃吧，愚蠢的人类！.
∴攻击力+2300
∴敏捷 +210
∴攻击时附带10%吸血 (最高250)
▣ 等级.60",144
118,shas,真龙炙舞·毁天叹息,"[史诗]
- 神话传说 武器 (枪支) -
为战斗而生的你！
∴攻击力+4200
∴敏捷 +430
∴智力 +320
∴技能伤害 +5%
∴使用触发毁天叹息
▣ 等级.100",762
119,skul,爆裂花雨·碧水青龙炮,"[史诗]
- 神话传说 武器 (枪支) -
这只是一个炮 !!
∴攻击力+4650
∴智力 +510
∴恢复量 +10%
∴点击使用 触发爆水轰
▣ 等级.100",243
120,mcri,黑暗统治圣物,"[史诗]
- 禁断圣物 材料 -
∴点击查看相关合成组合",288
121,rnec,霰弹枪,"[罕见]
- 武器 (枪支) -
∴攻击力+1400
∴敏捷 +150
∴攻击时几率触发爆破
▣ 等级.60",87
122,tsct,吟龙霜寒·冰雪叹息,"[史诗]
- 禁断圣物 武器 (枪支) -
这只是一个炮 !!
∴攻击力+6150
∴智力 +615
∴恢复量 +12%
∴当治疗时，激活治愈之水恢复友军
∴使用触发冰雪叹息
▣ 等级.100",796
123,azhr,霜寒碎片守护圣甲,"[史诗]
- 禁断圣物 铠甲 -
坚冰守护着的远古之甲
∴护甲 +250
∴力量 +290, 敏捷 +140
∴所受伤害-12%
∴生命处于40% 激活霜寒守护
▣ 等级.100",718
124,bzbe,暗黑不朽魂翼,"[史诗]
- 禁断圣物 翅膀 -
每个可怕的灵魂都是我的力量 ..
∴力量 +210
∴智力 +405
∴技能伤害 +6%
∴魔法抗性 +6%
∴持续地造成生命值和魔法值恢复
∴点击使用 灵魂吸收
▣ 等级.100",701
125,bzbf,圣佑龙魂战甲,"[史诗]
- 禁断圣物 铠甲 -
浸注巨大力量的盔甲
∴护甲 +205
∴主属性 +240
∴生命值 +1200
∴魔法值 +1200
∴被攻击时有几率触发龙之魂
∴3分钟CD，主动使用触发魔法免疫
▣ 等级.100",286
126,ches,深渊之眼,"[史诗]
- 神话传说 头盔 -
你可以通过聆听它,听到冒险家的尖叫声
∴护甲 +70
∴智力 +200
∴周围的友军 技能伤害 +4%
∴点击使用 召唤四只地狱野兽
▣ 等级.90",213
127,cnhn,炼狱赤焰爆破之刃,"[史诗]
- 神话传说 武器 (剑) -
越战越勇。我的力量随着仇恨逐渐强大 !!
∴攻击力+6300
∴力量 +600
∴攻击速度 -40%
∴技能伤害 +7.5%
∴每当释放技能 触发火焰打击
▣ 等级.100",686
128,glsk,狂暴·堕落统治魂翼,"[史诗]
- 禁断圣物 翅膀 -
黑暗的力量环绕着你
∴全属性 +255
∴技能伤害 +6%
∴持续伤害+12%
∴单目标打击时，腐蚀目标
▣ 等级.100",711
129,gopr,死亡之刃,"[史诗]
- 传奇至宝 武器 (近战) -
放弃吧，愚蠢的人类！.
∴攻击力+4000
∴敏捷 +410
∴生命值 +750
∴致命一击倍率 +0.20x
∴每14次攻击触发血之释放
▣ 等级.80",643
130,k3m1,亡魂头盔,"[史诗]
- 传奇至宝 头盔 -
死亡与你同在 ..
∴护甲 +80
∴敏捷 +105
∴生命值 +450
∴技能伤害 & 致命一击概率 +4.5%
∴点击使用 发动亡魂怨曲
▣ 等级.80",678
131,k3m2,爆破之戒,"[史诗]
- 禁断圣物 首饰 -
属于我的力量永远不会离我而去.
∴力量 +335
∴敏捷 +310
∴持续伤害+25%
∴所受治疗量-25%
∴攻击时几率触发爆破打击
▣ 等级.100",708
132,k3m3,星辰闪耀·圣堂之翼,"[史诗]
- 禁断圣物 翅膀 -
强大而纯洁翅膀
∴全属性 +190
∴主属性 +45
∴魔法值恢复 +15
∴技能伤害 +12%
∴每当释放技能几率刷新除终极技能外所有技能
▣ 等级.100",673
133,ktrm,恶魔领主的号角,"[史诗]
- 神话传说 头盔 -
恶魔领主,会拿着它不断采集储蓄邪恶的法力
∴护甲 +55
∴力量 +85, 敏捷 +65
∴所受伤害-7.5%
∴点击使用 发动灵魂锁链
▣ 等级.90",636
134,kybl,血色憎恨,"[史诗]
- 禁断圣物 武器 (法杖) -
仇恨给予我更强大的力量!
∴攻击力+6450
∴智力 +705
∴技能伤害 +7.5%
∴每当释放技能 智力 45, 火焰伤害 2%提升 (5次叠加)
∴点击使用 绯红凝视
▣ 等级.100",703
135,kygh,混沌碎片,"[史诗]
- 冥灵传世 材料 -
∴点击查看相关合成组合",297
136,kymn,龙蟠凤翥诉哀殇剑,"[史诗]
- 禁断圣物 武器 (近战) -
一个人并不幸福，两个人才是幸福～..
∴攻击力+7650
∴力量 +500, 敏捷 +570
∴技能伤害 +5%
∴攻击时几率的额外伤害
∴与附近的友军产生共鸣，从而变得更强大
▣ 等级.100",285
137,kysn,深渊之手·绝望的煙灭,"[史诗]
- 神话传说 武器 (剑) -
当你拥有它的时候,剩下的只有沉浸在疯狂,而不会感到疲倦.
∴攻击力+4800
∴力量 +330, 敏捷 +450
∴致命一击倍率 +0.25x
∴攻击时几率触发末日
▣ 等级.90",210
138,ledg,覆灭之戒,"[史诗]
- 冥灵传世 首饰 -
生之地与亡之地无关紧要。只需要战斗
∴全属性 +295
∴主属性 +125
∴造成伤害时将有15%的概率触发40%的额外伤害
▣ 等级.100",295
139,phlt,腐蚀者,"[史诗]
- 神话传说 武器 (剑) -
当你认识到你已经堕入万丈深渊时已经晚了 !!
∴攻击力+6000
∴力量 +510
∴攻击速度 +20%
∴技能伤害 +3%
∴攻击时几率 造成前方扇形区域毒性伤害
▣ 等级.100",225
140,sehr,赤焰龙魂血刃,"[史诗]
- 传奇至宝 武器 (近战) -
圣洁的遗物。永远不受玷污
∴攻击力+5250
∴力量 +500
∴攻击速度 -20%
∴技能伤害 +7.5%
∴攻击时几率 触发高能打击
▣ 等级.80",640
141,engs,混沌劈天刃,"[史诗]
- 冥灵传世 武器 (近战) -
它能释放强大能量.
∴攻击力+9150
∴力量 +705
∴技能伤害 +10%
∴攻击时25% 几率激活毁灭边际 (CD: 5秒)
∴点击使用 激活混沌 (CD: 60秒)
▣ 等级.100",715
142,sorf,断魂血刃,"[史诗]
- 神话传说 武器 (近战) -
充满嗜血的渴望
∴攻击力+5250
∴力量 +500
∴智力 +205
∴攻击速度 -50%
∴技能伤害 +5%
∴点击使用 发动嗜血打击
▣ 等级.100",688
143,gmfr,爆破之刃,"[史诗]
- 传奇至宝 武器 (近战) -
再不敢了！!
∴攻击力+4000
∴力量 +320
∴攻击速度 -15%
∴技能伤害 +5%
∴攻击时几率 触发爆破
▣ 等级.70",639
144,jpnt,亡者魂衣,"[史诗]
- 禁断圣物 铠甲 -
吸收亡者灵魂获得巨大能量..
∴护甲 +190
∴力量 +55, 敏捷 +225
∴技能伤害 +7%
∴致命一击概率 +7%
∴生命值很低时短时间内减少所受伤害并提升生命恢复速度
▣ 等级.100",698
