,key,name,description,id
12,srrc,神奇號角,"[召喚類物品]
我感受到了不羈跳動的魔力... 我應該吹響它??
◎點擊使用 召喚野外BOSS
◎只能在海灘上使用",391
13,odef,生命詠歎·自然之力,"[史詩]
- 神話傳說 武器 (通用) -
被古代的精靈們所控制的強力武器
∴攻擊力+4500
∴全屬性 +380
∴攻擊速度 +15%
∴技能傷害 +5%
∴攻擊時激活元素氣息
▣ 等級.100",219
14,rde3,噩夢戰盔,"[史詩]
- 禁斷聖物 頭盔 -
你會看到死亡 ..
∴護甲 +105
∴敏捷 +185
∴生命值 +900
∴技能傷害 & 致命一擊概率 +7.5%
∴攻擊時幾率觸發死亡凝視
▣ 等級.100",706
15,pmna,蝦殼劍,"[魔力]
- 武器 (近戰) -
∴攻擊力+400
∴護甲 +15
∴力量 +30
∴敏捷 +40
∴攻擊時幾率造成濺射傷害
▣ 等級.30",29
16,rhth,冬之淚·冰怨戰矛,"[史詩]
- 神話傳說 武器 (近戰) -
靠近它，你彷彿能聽到怨靈的聲音
∴攻擊力+4050
∴力量 +375
∴致命一擊倍率 +0.15x
∴攻擊時幾率 概率觸發冰霜打擊
▣ 等級.90",596
17,ssil,雪人項鍊,"[魔力]
- 首飾 -
∴智力 +30
∴生命值 +500
∴點擊使用 召喚雪人
▣ 等級.40",46
18,spsh,龍蝦鱗甲,"[魔力]
- 鎧甲 -
∴護甲 +40
∴力量 +25
∴敏捷 +20
∴受到攻擊時反射300的額外傷害
▣ 等級.30",30
19,sres,葡萄味糖果,"[糖果]
紫羅蘭色的智力糖果
∴15分鐘持續時間 智力 20提升
∴生命值40% 恢復",-1
20,pdiv,靈魂糖果,"[糖果]
靈魂糖果
∴30分鐘持續時間 經驗值獲得量 +10%",-1
21,pres,法爺力量結晶,"[收藏品]
改變揹包的外觀.",279
22,totw,藍莓味糖果,"[糖果]
藍色的敏捷糖果
∴15分鐘持續時間敏捷屬性20提升
∴生命值40% 恢復",-1
23,fgfh,糖果,"[糖果]
糖果
∴天堂的味道",-1
24,fgrd,天儀·諸神之怒,"[史詩]
- 鴻蒙起源 武器 (弓箭) -
在天威面前顫抖.
∴攻擊力+10200
∴敏捷 +760
∴攻擊速度 +40%
∴攻擊時觸發蒼穹之韻
▣ 等級.100",875
25,fgrg,亡靈戰神力量結晶,"[收藏品]
改變揹包的外觀.",266
26,hcun,榮耀·鮮血殘戟,"[史詩]
- 神話傳說 武器 (劍) -
流淌不止的鮮血給予你力量！.
∴攻擊力+6600
∴力量 +565
∴技能傷害 +8%
∴每當釋放技能 觸發榮耀戰歌
▣ 等級.100",667
27,hval,風之守護,"[魔力]
- 鎧甲 -
∴護甲 +40
∴智力 +45
∴技能傷害 +3%
∴90秒觸發一次 閃避致命的打擊
▣ 等級.40",48
28,mcou,骷髏印章,"[史詩]
- 神話傳說 首飾 -
充滿邪惡的黑暗配件
∴力量 +285
∴智力 +255
∴技能傷害 +7.5%
∴當被治療時，溢出的治療量會暫時提高最大生命值
▣ 等級.100",230
29,ajen,靈魂血矛,"[史詩]
- 傳奇至寶 武器 (近戰) -
放棄吧，愚蠢的人類！.
∴攻擊力+2500
∴力量 +190
∴攻擊時附帶10%吸血 (最高250)
▣ 等級.60",142
30,clfm,浴血之戒,"[史詩]
- 神話傳說 首飾 -
浴血的戒指
∴全屬性 +275
∴生命值 +2250
∴所受治療量+15%
∴點擊使用 觸發自身生命值30% 恢復 (CD: 30秒)
▣ 等級.100",677
31,ratc,亡靈輓歌·王者之劍,"[史詩]
- 禁斷聖物 武器 (近戰) -
絕望的使者所使用的遠古利器！
∴攻擊力+7050
∴力量 +520
∴敏捷 +505
∴致命一擊倍率 +0.20x
∴攻擊時幾率 觸發仇恨打擊
∴點擊使用 靈魂切割
▣ 等級.100",259
32,ward,亡靈輓歌·災禍法袍,"[史詩]
- 禁斷聖物 鎧甲 -
奇特的法袍
∴護甲 +175
∴智力 +275
∴技能傷害 +5%
∴點擊使用 觸發死亡契約
▣ 等級.100",261
33,kpin,復仇者,"[史詩]
- 神話傳說 武器 (劍) -
我將我的靈魂賜賦於你'你能獲得我全部的能力
∴攻擊力+6300
∴敏捷 +535
∴技能傷害 +5%
∴致命一擊概率 +5%
∴點擊使用 下一次攻擊觸發復仇效果
▣ 等級.100",226
34,crys,災難頭巾,"[史詩]
- 禁斷聖物 頭盔 -
不怕死者才能擁有
∴護甲 +95
∴敏捷, 智力 +210
∴生命值 +1500
∴復活等待時間 -40%
∴死亡時觸發亡者之手
▣ 等級.100",268
35,lgdh,冰川守護,"[魔力]
- 頭盔 -
∴護甲 +30
∴力量 +30
∴敏捷 +25
∴受到攻擊時幾率冰凍敵人
▣ 等級.40",45
36,ankh,冰凍結晶,"[召喚類物品]
封印強大力量的結晶，要不要打破它？?
◎點擊使用 召喚BOSS
◎只能在冰山雪地上使用",392
37,whwd,遠古遺蹟殘骸,"[史詩]
- 神話傳說 材料 -
∴點擊查看相關合成組合",233
38,fgsk,紅色水晶魔像力量結晶,"[收藏品]
改變揹包的外觀.",217
39,wcyc,黑瓜力量結晶,"[收藏品]
改變揹包的外觀.",129
40,hlst,坐忘無我·天國揹包,"[史詩]
- 神話傳說 武器 (揹包) -
一個有生命力的揹包
∴攻擊力+3600
∴全屬性 +360
∴恢復量 +12%
∴魔法抗性 +12%
▣ 等級.100",733
41,mnst,詛咒面罩,"[召喚類物品]
瓦拉的詛咒水晶
◎點擊使用 召喚BOSS
◎只能在瓦幾內拉帝國",67
42,belv,宿主權杖,"[史詩]
- 禁斷聖物 武器 (法杖) -
你要下地獄了 !
∴攻擊力+5850
∴智力 +660
∴持續傷害+20%
∴魔法抗性 +12%
∴點擊使用 激活寄生
▣ 等級.100",267
43,bgst,葬禮·血祭之矛,"[史詩]
- 傳奇至寶 武器 (近戰) -
放棄吧，愚蠢的人類！.
∴攻擊力+3200
∴力量 +235
∴攻擊時附帶10%吸血 (最高400)
▣ 等級.60",615
44,ciri,深海寶石,"[魔力]
- 首飾 -
∴全屬性 +15
∴魔法值恢復 +5
∴點擊使用 發動潮汐打擊
▣ 等級.30",31
45,lhst,生命詠歎·夢境童話,"[史詩]
- 神話傳說 鎧甲 -
生命的能量不斷湧出..
∴護甲 +175
∴智力 +285
∴生命值 +1500
∴點擊使用 召喚一隻強大的精靈龍
▣ 等級.100",671
46,afac,生命詠歎·守望之錘,"[史詩]
- 神話傳說 武器 (劍) -
在生命源泉的守護下勇往直前 !!
∴攻擊力+5700
∴力量 +555
∴技能傷害 +4.5%
∴每當釋放技能 力量得到提升
▣ 等級.100",221
47,sbch,生命詠歎·守護聖甲,"[史詩]
- 神話傳說 鎧甲 -
生命的能量不斷湧出..
∴護甲 +200
∴力量 +240
∴敏捷 +100
∴魔法抗性 +8%
∴生命值很低時生命恢復速度得到暫時性大幅提高
▣ 等級.100",669
48,brac,空白,,-1
49,rwiz,絕望的深淵,"[史詩]
- 神話傳說 武器 (法杖) -
墮入無盡的黑暗吧; 絕望的慘叫吧 !
∴攻擊力+5550
∴智力 +585
∴攻擊速度 +25%
∴技能傷害 +5%
∴施法後對目標區域製造瘟疫
▣ 等級.100",227
50,pghe,冰柱糖果,"[糖果]
冰柱糖果
∴30分鐘持續時間 敏捷 +15",-1
51,pgma,肉桂糖果,"[糖果]
肉桂糖果
∴30分鐘持續時間 力量 +15",-1
52,pnvu,滄海印記,"[召喚類物品]
深藍的印記折射出無盡的恐懼
◎點擊使用 召喚BOSS
◎只能在深海使用",394
53,sror,風暴徽記,"[史詩]
- 神話傳說 材料 -
∴點擊查看相關合成組合",249
54,woms,解印寶石,"[召喚類物品]
這個石頭可以用來打破封印
◎可以解除遠古祕境某處的BOSS封印",395
55,evtl,未完成的狂暴藥劑,"[史詩]
- 神話傳說 首飾 -
危險的藥水,能玩壞你的藥...
∴全屬性 +260
∴生命值恢復 +50
∴技能傷害 +6%
∴點擊使用改變角色外形持續12秒
▣ 等級.100",231
56,penr,亡靈輓歌·咒印心石,"[史詩]
- 禁斷聖物 首飾 -
黑暗骷髏的邪惡物品
∴主屬性 +390
∴技能傷害 +12%
▣ 等級.100",672
57,prvt,冰柱之弓,"[魔力]
- 武器 (弓箭) -
∴攻擊力+500
∴敏捷 +75
∴攻擊速度 +20%
∴每攻擊時200~400魔法值恢復並擁有減速效果
▣ 等級.40",44
58,rat9,亡靈輓歌·月窮天墜,"[史詩]
- 禁斷聖物 首飾 -
充滿魔力的邪惡飾品！
∴全屬性 +340
∴攻擊速度 +15%
∴8秒觸發一次 三種強力BUFF之一
∴點擊使用 激活三種BUFF
▣ 等級.100",262
59,rde2,不朽·潛行者,"[史詩]
- 禁斷聖物 武器 (弓箭) -
每次打擊都指向敵人的心臟
∴攻擊力+8700
∴敏捷 +540
∴生命值 +1200
∴技能傷害 +5%
∴6秒觸發一次 下次深淵之力攻擊 強化
▣ 等級.100",696
60,rlif,格林之鐮,"[史詩]
- 鴻蒙起源 武器 (通用) -
一種將靈魂與凡人分離的奇特武器
∴攻擊力+9400
∴主屬性 +960
∴技能傷害 +15%
∴暗屬性 +5%
∴每當釋放技能就出發死亡之鐮
∴點擊使用 激活分離
▣ 等級.100",340
61,bspd,冬之淚·冰霜怨弓,"[史詩]
- 神話傳說 武器 (弓箭) -
你是否能感受到這冰靈般的弓,內在附屬的死亡靈魂?
∴攻擊力+4950
∴力量 +285
∴敏捷 +475
∴技能傷害 +2.5%
∴攻擊時幾率觸發減速效果
▣ 等級.90",206
62,rej3,聖泉喝彩·生命揹包,"[史詩]
- 神話傳說 武器 (揹包) -
一個有生命力的揹包
∴攻擊力+4800
∴全屬性 +465
∴恢復量 +12%
∴魔法抗性 +12%
▣ 等級.100",735
63,will,漩渦·風之守護,"[罕見]
- 鎧甲 -
∴護甲 +55
∴智力 +75
∴生命值 +500
∴技能傷害 +5%
∴45秒觸發一次 閃避致命的打擊
▣ 等級.40",577
64,wlsd,初級獵槍,"[罕見]
- 武器 (槍支) -
∴攻擊力+720
∴敏捷 +100
∴智力 +35
∴攻擊速度 +18%
▣ 等級.40",569
65,wswd,惡魔領主力量結晶,"[收藏品]
改變揹包的外觀.",218
66,cnob,糖果袋,"[史詩]
- 傳奇至寶 首飾 -
飽含了得天獨厚的萬聖節喜氣的糖果袋
∴全屬性 +80
∴生命值 +750
∴點擊使用 向附近扔多個糖果
▣ 等級.60",155
67,gcel,亡者靈魂,"[史詩]
- 禁斷聖物 翅膀 -
包含王者靈魂.
∴全屬性 +275
∴生命值 +1200
∴復活等待時間 -40%
∴死亡時觸發復活死者
▣ 等級.100",704
68,rat6,亡靈輓歌·虛靈權杖,"[史詩]
- 禁斷聖物 武器 (法杖) -
飽含衆多靈魂的骷髏柺杖
∴攻擊力+5700
∴智力 +690
∴魔法值 +2250
∴技能傷害 +5%
∴點擊使用 觸發暗黑領域
▣ 等級.100",260
69,rde1,不朽之心,"[史詩]
- 禁斷聖物 材料 -
∴點擊查看相關合成組合",271
70,tdx2,幻想力量結晶,"[收藏品]
改變揹包的外觀.",428
71,texp,萬聖節特別力量結晶,"[收藏品]
改變揹包的外觀.",423
72,tin2,藥草,10秒內恢復500生命值.,-1
73,tpow,元素·空靈匕首,"[史詩]
- 冥靈傳世 武器 (通用) -
注入了天堂第五元素的匕首
∴攻擊力+5950
∴全屬性 +525
∴攻擊速度 +25%
∴技能傷害 +10.5%
∴攻擊時激活元素氣息
▣ 等級.100",869
74,tst2,冰霜巨蛛力量結晶,"[收藏品]
改變揹包的外觀.",209
75,pnvl,血之輓歌·逆天禁咒炮,"[史詩]
- 禁斷聖物 武器 (槍支) -
休息一下，感受我的力量
∴攻擊力+9000
∴敏捷 +585
∴生命值 +1800
∴點擊使用 觸發血之輓歌
▣ 等級.100",758
76,clsd,生命詠歎·破界守望,"[史詩]
- 神話傳說 鎧甲 -
生命的能量不斷湧出..
∴護甲 +170
∴力量 +90
∴敏捷 +255
∴魔法抗性 +5%
∴8秒觸發一次 1500點傷害吸收量的護盾
▣ 等級.100",670
77,rag1,生命詠歎·守護頭盔,"[史詩]
- 神話傳說 頭盔 -
雷之神賦予的神聖王冠！！
∴護甲 +90
∴全屬性 +125
∴致命一擊概率 +7.5%
∴攻擊時有幾率召喚閃電攻擊
▣ 等級.100",220
78,rin1,潛行者,"[史詩]
- 神話傳說 武器 (弓箭) -
不要錯過了這些 !! 它們一直漸弱自己的氣息 !!
∴攻擊力+6750
∴敏捷 +495
∴攻擊速度 -25%
∴致命一擊概率 +7.5%
∴攻擊時幾率觸發深淵爆破
▣ 等級.100",228
79,rst1,靈魂酒箱,"[史詩]
- 神話傳說 首飾 -
包含靈魂的箱子
∴力量 +185
∴智力 +280
∴生命值恢復 +60
∴技能傷害 +8%
∴魔法抗性 +8%
∴點擊使用 生命值恢復
▣ 等級.100",637
80,manh,格林之鐮,"[史詩]
- 鴻蒙起源 武器 (通用) -
一種將靈魂與凡人分離的奇特武器
∴攻擊力+9400
∴主屬性 +960
∴技能傷害 +15%
∴暗屬性 +5%
∴每當釋放技能就出發死亡之鐮
∴點擊使用 激活分離
▣ 等級.100",340
81,tdex,迷你雪人力量結晶,"[收藏品]
改變揹包的外觀.",425
82,tint,魔海誘惑·惡魔之角,"[史詩]
- 神話傳說 頭盔 -
惡魔的精魄凝聚而成
∴護甲 +95
∴全屬性 +144
∴技能傷害 & 致命一擊概率 +6%
∴所受傷害+6%
∴3000碼移動距離觸發惡魔火焰
▣ 等級.100",755
83,tstr,覺醒·真神之鐘,"[史詩]
- 鴻蒙起源 首飾 -
主拯救了我們所有人
∴全屬性 +450
∴生命值恢復 +200
∴光屬性 +7.5%
∴技能命中友軍時觸發[希望]效果
∴點擊使用 救濟
▣ 等級.100",877
84,pomn,殭屍領主力量結晶,"[收藏品]
改變揹包的外觀.",273
85,wshs,滄海巨獸力量結晶,"[收藏品]
改變揹包的外觀.",251
86,rej6,精靈大地之刃,"[史詩]
- 禁斷聖物 武器 (通用) -
古代精靈的聖器
∴攻擊力+5400
∴全屬性 +435
∴攻擊速度 +20%
∴技能傷害 +9%
∴攻擊時激活元素氣息
▣ 等級.100",676
87,rej5,噩耗·魑魅神杖,"[史詩]
- 禁斷聖物 武器 (法杖) -
來自深淵的神器！！
∴攻擊力+5500
∴智力 +665
∴生命值 +1800
∴施放技能和治療時，觸發瘋狂強化
▣ 等級.100",691
88,rej4,統治權杖,"[史詩]
- 禁斷聖物 武器 (法杖) -
擁有控制一切的慾望!
∴攻擊力+6000
∴智力 +735
∴生命值 +900
∴攻擊速度 +30%
∴每個自己的召喚物在附近會造成智力 30 提高
∴點擊使用 統治釋放
▣ 等級.100",697
89,ram4,魑魅神杖,"[史詩]
- 神話傳說 武器 (法杖) -
瘋狂的柺杖
∴攻擊力+4600
∴智力 +570
∴生命值 +1350
∴每當釋放技能周圍的友軍6秒 強化
▣ 等級.100",690
90,dsum,火焰披風,"[罕見]
- 翅膀 -
∴力量 +70
∴敏捷 +50
∴智力 +50
∴每0.5秒對周圍敵軍造成750的魔法傷害
▣ 等級.60",83
91,ofir,自然精華,"[史詩]
- 禁斷聖物 材料 -
∴點擊查看相關合成組合",277
92,ocor,蒼穹俱寧·卸塵枷鎖,"[史詩]
- 冥靈傳世 首飾 -
天空不是你的極限
∴主屬性 +360
∴所受傷害-15%
∴點擊使用 釋放蒼穹俱寧
▣ 等級.100",301
93,oli2,死亡之翼力量結晶,"[收藏品]
改變揹包的外觀.",176
94,oven,九頭蛇力量結晶,"[收藏品]
改變揹包的外觀.",141
95,ram3,無堅不摧戰翅,"[史詩]
- 冥靈傳世 翅膀 -
強者的象徵 ! 差距就是死亡的開始.
∴攻擊力+1200
∴全屬性 +135, 主屬性 +150
∴致命一擊倍率 +0.2x
∴每當釋放技能 6秒 技能傷害和致命一擊概率 4%提升 (3次疊加)
▣ 等級.100",724
96,tret,熔岩骨片,"[史詩]
- 禁斷聖物 材料 -
∴點擊查看相關合成組合",254
97,tgrh,@Unused,,-1
98,rej2,聖誕力量結晶,"[收藏品]
改變揹包的外觀.",426
99,gemt,浩瀚揹包 +1,"[史詩]
- 傳奇至寶 武器 (揹包) -
相當重的揹包
∴攻擊力+3800
∴力量 +310
∴技能傷害 +5%
∴所受傷害-15%
▣ 等級.70",653
100,ram2,鳴夜動天破滅盔,"[史詩]
- 冥靈傳世 頭盔 -
封殺所有殘渣！!
∴護甲 +100
∴力量 +210, 敏捷 +240
∴技能傷害 +15%
∴所受傷害+8%
∴點擊使用 釋放禁錮死光
▣ 等級.100",720
101,stel,信仰斗篷,"[史詩]
- 禁斷聖物 翅膀 -
感受到永恆的力量 ..
∴主屬性 +295
∴生命值 +1500
∴所受傷害-12%
∴攻擊時幾率觸發永恆信仰
▣ 等級.100",269
102,stwp,令牌力量結晶,"[收藏品]
改變揹包的外觀.",412
103,wneg,獠牙手,"[魔力]
- 武器 (槍支) -
∴攻擊力+340
∴敏捷 +50
∴智力 +25
∴攻擊速度 +15%
▣ 等級.30",33
104,sneg,主天使力量結晶,"[收藏品]
改變揹包的外觀.",284
105,wneu,馭龍槍,"[史詩]
- 傳奇至寶 武器 (槍支) -
如果你擁有這把槍，你將可以根除一切
∴攻擊力+3600
∴敏捷 +360
∴智力 +160
∴攻擊速度 +20%
∴技能傷害 +4%
∴點擊使用 觸發龍之舞
▣ 等級.70",648
106,shea,阿赫利烏斯·雙元法杖,"[史詩]
- 鴻蒙起源 武器 (法杖) -
這根法杖內的火與水之力不斷輪轉，相互排斥.
∴攻擊力+8400
∴智力 +790
∴火焰傷害 +5%
∴冰屬性/水屬性+5%
∴裝備時，激活元素增幅
∴點擊使用 釋放元素
▣ 等級.100",874
107,sman,高級獵槍,"[罕見]
- 武器 (槍支) -
∴攻擊力+1150
∴敏捷 +130
∴智力 +50
∴攻擊速度 +20%
∴獲得經驗值+8%
▣ 等級.50",571
108,rej1,虛無界石,"[史詩]
- 神話傳說 材料 -
∴點擊查看相關合成組合",240
109,pspd,混沌誅天權杖,"[史詩]
- 冥靈傳世 武器 (法杖) -
擁有無限智慧與霸氣..
∴攻擊力+8700
∴力量 +470
∴智力 +870
∴技能傷害 +15%
∴點擊使用 激活混沌崩擊
▣ 等級.100",717
110,dust,浮生·弒光之鐘,"[史詩]
- 禁斷聖物 首飾 -
你的靈魂將受到護佑！
∴全屬性 +285
∴光屬性 +7.5%
∴周圍的友軍護甲和生命值提高
∴每當釋放技能 充能神聖之光
∴點擊使用 釋放神聖之光
▣ 等級.100",775
111,ram1,靈魂之石,"[史詩]
- 神話傳說 材料 -
∴點擊查看相關合成組合",126
112,pinv,巨龍之怒·流年沙漏,"[史詩]
- 禁斷聖物 首飾 -
一個可以顛倒沙子的神祕聖器
∴主屬性 +335
∴攻擊速度 +10%
∴3秒觸發一次 你的下次攻擊產生連擊
∴30秒觸發一次隨機刷新一個技能
▣ 等級.100",253
113,phea,幽光殘骸,"[史詩]
- 冥靈傳世 材料 -
∴點擊查看相關合成組合",304
114,pman,狩獵者,"[史詩]
- 傳奇至寶 武器 (槍支) -
∴攻擊力+2400
∴敏捷 +250
∴智力 +130
∴攻擊速度 +20%
∴獲得經驗值+10%
▣ 等級.60",645
115,spro,水果揹包,"[罕見]
- 武器 (揹包) -
∴攻擊力+1200
∴全屬性 +130
∴恢復量 +10%
∴魔法抗性 +10%
▣ 等級.50",606
116,hslv,百骸颯沓揹包,"[史詩]
- 禁斷聖物 武器 (揹包) -
偶賣糕德.. 太熱了...  餵我肉吧...
∴攻擊力+7200
∴力量 +630
∴技能傷害 +11%
∴所受傷害-22%
▣ 等級.100",793
117,moon,採佩什血炮,"[史詩]
- 傳奇至寶 武器 (槍支) -
放棄吧，愚蠢的人類！.
∴攻擊力+2300
∴敏捷 +210
∴攻擊時附帶10%吸血 (最高250)
▣ 等級.60",144
118,shas,真龍炙舞·毀天嘆息,"[史詩]
- 神話傳說 武器 (槍支) -
爲戰鬥而生的你！
∴攻擊力+4200
∴敏捷 +430
∴智力 +320
∴技能傷害 +5%
∴使用觸發毀天嘆息
▣ 等級.100",762
119,skul,爆裂花雨·碧水青龍炮,"[史詩]
- 神話傳說 武器 (槍支) -
這只是一個炮 !!
∴攻擊力+4650
∴智力 +510
∴恢復量 +10%
∴點擊使用 觸發爆水轟
▣ 等級.100",243
120,mcri,黑暗統治聖物,"[史詩]
- 禁斷聖物 材料 -
∴點擊查看相關合成組合",288
121,rnec,霰彈槍,"[罕見]
- 武器 (槍支) -
∴攻擊力+1400
∴敏捷 +150
∴攻擊時幾率觸發爆破
▣ 等級.60",87
122,tsct,吟龍霜寒·冰雪嘆息,"[史詩]
- 禁斷聖物 武器 (槍支) -
這只是一個炮 !!
∴攻擊力+6150
∴智力 +615
∴恢復量 +12%
∴當治療時，激活治癒之水恢復友軍
∴使用觸發冰雪嘆息
▣ 等級.100",796
123,azhr,霜寒碎片守護聖甲,"[史詩]
- 禁斷聖物 鎧甲 -
堅冰守護着的遠古之甲
∴護甲 +250
∴力量 +290, 敏捷 +140
∴所受傷害-12%
∴生命處於40% 激活霜寒守護
▣ 等級.100",718
124,bzbe,暗黑不朽魂翼,"[史詩]
- 禁斷聖物 翅膀 -
每個可怕的靈魂都是我的力量 ..
∴力量 +210
∴智力 +405
∴技能傷害 +6%
∴魔法抗性 +6%
∴持續地造成生命值和魔法值恢復
∴點擊使用 靈魂吸收
▣ 等級.100",701
125,bzbf,聖佑龍魂戰甲,"[史詩]
- 禁斷聖物 鎧甲 -
浸注巨大力量的盔甲
∴護甲 +205
∴主屬性 +240
∴生命值 +1200
∴魔法值 +1200
∴被攻擊時有幾率觸發龍之魂
∴3分鐘CD，主動使用觸發魔法免疫
▣ 等級.100",286
126,ches,深淵之眼,"[史詩]
- 神話傳說 頭盔 -
你可以通過聆聽它,聽到冒險家的尖叫聲
∴護甲 +70
∴智力 +200
∴周圍的友軍 技能傷害 +4%
∴點擊使用 召喚四隻地獄野獸
▣ 等級.90",213
127,cnhn,煉獄赤焰爆破之刃,"[史詩]
- 神話傳說 武器 (劍) -
越戰越勇。我的力量隨着仇恨逐漸強大 !!
∴攻擊力+6300
∴力量 +600
∴攻擊速度 -40%
∴技能傷害 +7.5%
∴每當釋放技能 觸發火焰打擊
▣ 等級.100",686
128,glsk,狂暴·墮落統治魂翼,"[史詩]
- 禁斷聖物 翅膀 -
黑暗的力量環繞着你
∴全屬性 +255
∴技能傷害 +6%
∴持續傷害+12%
∴單目標打擊時，腐蝕目標
▣ 等級.100",711
129,gopr,死亡之刃,"[史詩]
- 傳奇至寶 武器 (近戰) -
放棄吧，愚蠢的人類！.
∴攻擊力+4000
∴敏捷 +410
∴生命值 +750
∴致命一擊倍率 +0.20x
∴每14次攻擊觸發血之釋放
▣ 等級.80",643
130,k3m1,亡魂頭盔,"[史詩]
- 傳奇至寶 頭盔 -
死亡與你同在 ..
∴護甲 +80
∴敏捷 +105
∴生命值 +450
∴技能傷害 & 致命一擊概率 +4.5%
∴點擊使用 發動亡魂怨曲
▣ 等級.80",678
131,k3m2,爆破之戒,"[史詩]
- 禁斷聖物 首飾 -
屬於我的力量永遠不會離我而去.
∴力量 +335
∴敏捷 +310
∴持續傷害+25%
∴所受治療量-25%
∴攻擊時幾率觸發爆破打擊
▣ 等級.100",708
132,k3m3,星辰閃耀·聖堂之翼,"[史詩]
- 禁斷聖物 翅膀 -
強大而純潔翅膀
∴全屬性 +190
∴主屬性 +45
∴魔法值恢復 +15
∴技能傷害 +12%
∴每當釋放技能幾率刷新除終極技能外所有技能
▣ 等級.100",673
133,ktrm,惡魔領主的號角,"[史詩]
- 神話傳說 頭盔 -
惡魔領主,會拿着它不斷採集儲蓄邪惡的法力
∴護甲 +55
∴力量 +85, 敏捷 +65
∴所受傷害-7.5%
∴點擊使用 發動靈魂鎖鏈
▣ 等級.90",636
134,kybl,血色憎恨,"[史詩]
- 禁斷聖物 武器 (法杖) -
仇恨給予我更強大的力量!
∴攻擊力+6450
∴智力 +705
∴技能傷害 +7.5%
∴每當釋放技能 智力 45, 火焰傷害 2%提升 (5次疊加)
∴點擊使用 緋紅凝視
▣ 等級.100",703
135,kygh,混沌碎片,"[史詩]
- 冥靈傳世 材料 -
∴點擊查看相關合成組合",297
136,kymn,龍蟠鳳翥訴哀殤劍,"[史詩]
- 禁斷聖物 武器 (近戰) -
一個人並不幸福，兩個人才是幸福～..
∴攻擊力+7650
∴力量 +500, 敏捷 +570
∴技能傷害 +5%
∴攻擊時幾率的額外傷害
∴與附近的友軍產生共鳴，從而變得更強大
▣ 等級.100",285
137,kysn,深淵之手·絕望的煙滅,"[史詩]
- 神話傳說 武器 (劍) -
當你擁有它的時候,剩下的只有沉浸在瘋狂,而不會感到疲倦.
∴攻擊力+4800
∴力量 +330, 敏捷 +450
∴致命一擊倍率 +0.25x
∴攻擊時幾率觸發末日
▣ 等級.90",210
138,ledg,覆滅之戒,"[史詩]
- 冥靈傳世 首飾 -
生之地與亡之地無關緊要。只需要戰鬥
∴全屬性 +295
∴主屬性 +125
∴造成傷害時將有15%的概率觸發40%的額外傷害
▣ 等級.100",295
139,phlt,腐蝕者,"[史詩]
- 神話傳說 武器 (劍) -
當你認識到你已經墮入萬丈深淵時已經晚了 !!
∴攻擊力+6000
∴力量 +510
∴攻擊速度 +20%
∴技能傷害 +3%
∴攻擊時幾率 造成前方扇形區域毒性傷害
▣ 等級.100",225
140,sehr,赤焰龍魂血刃,"[史詩]
- 傳奇至寶 武器 (近戰) -
聖潔的遺物。永遠不受玷污
∴攻擊力+5250
∴力量 +500
∴攻擊速度 -20%
∴技能傷害 +7.5%
∴攻擊時幾率 觸發高能打擊
▣ 等級.80",640
